lokacija	broj_soba	kvadratura	sprat	novogradnja	centralno_grejanje	lift	parking	uknjizen	stanje	cena	klasa
Lekino Brdo	3	79	I-II	DA	DA		DA	DA	2	1654.050633	1.5-1.7K
Djeram pijaca 	1	52	I-II		NE		NE			1653.846154	1.5-1.7K
Vračar-Hram	4	205	I-II	DA	DA		DA	DA	2	1653.658537	1.5-1.7K
Profesorska kolonija	3	63	I-II	DA	DA	DA	DA	DA	1	1650.793651	1.5-1.7K
Autokomanda	4	100	III-IV		DA		DA	DA	2	1650	1.5-1.7K
Novi Beograd-Opština	4	100	I-II	NE	DA	DA	NE	DA	1	1650	1.5-1.7K
Profesorska kolonija	1	40	III-IV		DA			DA		1650	1.5-1.7K
Slavija	2	62	I-II	DA	DA	DA		DA	2	1650	1.5-1.7K
Vračar-Hram	2	60	I-II	NE	DA	DA	DA	DA	0	1650	1.5-1.7K
Vračar-Kalenić pijaca	2	60	I-II		DA			DA	1	1650	1.5-1.7K
Vračar-Kalenić pijaca	2	77	I-II	DA	DA	DA		DA	2	1649.350649	1.5-1.7K
Novi Beograd-Hotel Jugoslavija	3	63	III-IV	DA	DA			DA	1	1649.206349	1.5-1.7K
Lekino Brdo	1	37	III-IV	DA	DA		DA	DA	1	1648.648649	1.5-1.7K
Donji Dorćol	2	51	I-II		NE			DA		1647.058824	1.5-1.7K
Novi Beograd-Hotel Jugoslavija	1	34	V+	NE	DA	DA		DA		1647.058824	1.5-1.7K
Donji Dorćol	3	82	III-IV	NE	DA	DA			1	1646.341463	1.5-1.7K
Zemun-Save Kovačevića	4	82	I-II	DA	NE			DA	2	1646.341463	1.5-1.7K
Vukov Spomenik	2	54	I-II	NE	NE		DA	DA	2	1646.296296	1.5-1.7K
Novi Beograd-Hotel Jugoslavija	3	76	III-IV	NE	DA			DA	1	1644.736842	1.5-1.7K
Tašmajdan	3	90	III-IV	NE	DA	DA	NE	DA	0	1644.444444	1.5-1.7K
Profesorska kolonija	3	73	I-II	DA	DA	DA	DA	DA	1	1643.835616	1.5-1.7K
Vračar-Kalenić pijaca	1	38	I-II	DA	DA	DA		NE	2	1642.105263	1.5-1.7K
Vračar-Kalenić pijaca	2	64	I-II	NE	DA	DA		DA	1	1640.625	1.5-1.7K
Vračar-Kalenić pijaca	2	69	P	DA	DA	DA		NE	2	1640.57971	1.5-1.7K
Djeram pijaca 	1	25	P	NE	NE	NE	NE	DA		1640	1.5-1.7K
Centar-Stari grad	2	44	V+	DA	DA	DA		DA	1	1636.363636	1.5-1.7K
Konjarnik-Denkova basta 	4	110	V+	DA	DA	DA	DA		2	1636.363636	1.5-1.7K
Donji Dorćol	4	110	V+	NE	DA	DA		DA	1	1636.363636	1.5-1.7K
Kalemegdan	1	22	P		NE	NE		DA		1636.363636	1.5-1.7K
Lekino Brdo	2	55	I-II	DA	DA			DA	1	1636.363636	1.5-1.7K
Autokomanda	4	107	I-II	DA	NE		DA	DA	2	1635.514019	1.5-1.7K
Lekino Brdo	1	41	I-II	DA	DA	NE	DA	DA	1	1634.146341	1.5-1.7K
Djeram pijaca 	3	70	V+	DA	DA	DA	DA	DA	2	1633.5	1.5-1.7K
